,lon,lat
1,69.207486,34.5553494
2,67.1179511,36.6926167
3,19.8186982,41.3275459
4,1.5387862,42.5100804
5,-58.3815591,-34.6036844
6,138.6007456,-34.9284989
7,117.883959,-35.0275298
8,146.9135418,-36.0737293
9,147.4063861,-19.5685154
10,149.5775008,-33.4192822
11,153.0251235,-27.4697707
12,115.6396494,-33.325636
13,115.3500188,-33.6554927
14,149.124417,-35.3075
15,151.3651236,-33.3319173
16,116.1484349,-33.3601435
17,130.8456418,-12.4634403
18,146.3451775,-41.1770585
19,144.3617186,-38.1499181
20,114.6149715,-28.7773715
21,148.1526806,-40.9817009
22,147.3271949,-42.8821377
23,146.8,-38.15
24,147.1440875,-41.4332215
25,151.4578934,-32.8178141
26,149.1821469,-21.1424956
27,144.9642459,-37.8162789
28,148.057916,-22.002777
29,139.4927085,-20.7255748
30,150.9049638,-32.2848467
31,151.781667,-32.928333
32,130.9851852,-12.4784614
33,115.8604572,-31.9505269
34,151.1788155,-32.5694741
35,151.2092955,-33.8688197
36,150.9320334,-31.092748
37,146.8169483,-19.2589635
38,150.6749653,-32.0224523
39,147.3598323,-35.1081689
40,137.5753107,-33.0379671
41,150.8930607,-34.4278121
42,151.418,-33.282
43,13.7057619,46.5499903
44,13.6209459,47.7123805
45,16.213837,47.9648168
46,16.3459774,48.0832406
47,9.80821,47.15991
48,15.26861,47.40993
49,15.21338,46.81595
50,9.74379,47.4124
51,16.786103,48.4363112
52,16.52796,47.84637
53,9.6019,47.24128
54,16.08013,47.04795
55,16.71754,48.34067
56,15.439504,47.070714
57,16.5533905,48.1969144
58,11.5058484,47.2804034
59,13.10037,47.68248
60,15.97302,47.2815
61,10.7483325,47.4441226
62,16.43847,48.07329
63,9.6356383,47.4592718
64,10.73954,47.24013
65,11.4041024,47.2692124
66,14.65811,47.16826
67,15.2791914,47.4433293
68,11.2734,47.25573
69,14.3122246,46.6364598
70,16.323772,48.3098656
71,14.82719,47.21595
72,15.60384,48.40999
73,12.16275,47.58237
74,15.09113,47.37639
75,12.76272,46.82769
76,14.24315,47.56741
77,14.28583,48.30694
78,9.6594464,47.4208426
79,16.2869,48.08255
80,15.67171,47.60687
81,13.05501,47.80949
82,14.8661804,46.7153804
83,15.63817,48.20353
84,14.36151,46.76748
85,11.70584,47.3502
86,16.4763778,48.1409268
87,13.4928,46.79968
88,14.41827,48.05009
89,14.3713292,48.2835238
90,16.2156966,48.3861094
91,15.7418888,48.3518681
92,16.060737,48.3314949
93,13.85062,46.60856
94,13.65613,48.00334
95,15.62297,47.21717
96,14.03664,48.16542
97,16.3738189,48.2081743
98,16.320342,48.0853962
99,16.23318,47.80279
100,14.84277,46.8401
101,12.0649466,47.4856098
102,14.7523616,47.1898236
103,50.4980362,26.1256441
104,50.6689995,26.2159009
105,50.6132554,26.1346774
106,50.5847544,26.1823274
107,50.6313889,26.04
108,90.3465971,22.7029212
109,91.8123324,22.3475365
110,90.4125181,23.810332
111,90.4195876,23.9917345
112,89.5403279,22.845641
113,90.4997973,23.6226398
114,88.6241351,24.3635886
115,91.8611011,24.904539
116,4.8365218,50.9859959
117,5.0964543,50.4911522
118,4.4024643,51.2194475
119,4.31409,51.34287
120,5.2535561,49.854235
121,4.36633,51.08608
122,3.2246995,51.209348
123,4.3517103,50.8503396
124,4.444643,50.4108095
125,4.52786,50.4061
126,4.67458,50.66206
127,5.11269,51.23985
128,3.7977646,51.0609335
129,5.4037136,50.5832252
130,3.7067221,51.1099708
131,5.5021,50.96613
132,3.7174243,51.0543422
133,5.6460452,49.7280718
134,5.33248,50.93069
135,5.63289,50.66618
136,4.34992,51.1775732
137,4.4047295,51.3061855
138,5.08081,50.75534
139,5.5796662,50.6325574
140,4.4775362,51.0258761
141,3.121342,50.7962915
142,3.340071,51.2430573
143,3.956659,50.4542408
144,3.3346008,50.9202012
145,5.0842508,51.2669664
146,3.1294471,50.9499087
147,5.54655,50.02683
148,5.4996297,50.5838832
149,5.3700431,50.3399089
150,4.51349,50.90793
151,3.3879338,50.6056475
152,2.6680341,51.073159
153,5.91469,50.2840167
154,4.4257868,50.9272511
155,4.6059942,50.0714722
156,3.8119772,51.1987114
157,3.332698,50.8129259
158,4.3335905,51.2164116
159,89.6392863,27.4727924
160,-66.1653224,-17.4139766
161,-68.1192936,-16.489689
162,18.4130763,43.8562586
163,18.6734688,44.5374611
164,-47.0626332,-22.9099384
165,NA,NA
166,NA,NA
167,-49.4052251,-25.586431
