"","lon","lat"
"195",-2.5969501,53.3900441
"196",-2.6325074,53.5450645
"197",-2.992494,53.04304
"198",-1.0872979,53.9599651
"199",-84.0371659,41.8975471
"200",-81.5190053,41.0814447
"201",-73.8732714,42.7918028
"202",-106.6055534,35.0853336
"203",-92.4451371,31.3112936
"204",-85.8553031,42.5291989
"205",-75.4365016,40.6529413
"206",-78.3947359,40.5186809
"207",-149.9002778,61.2180556
"208",-85.6802541,40.1053196
"209",-83.7430378,42.2808256
"210",-88.4153847,44.2619309
"211",-82.5514869,35.5950581
"212",-85.8360741,33.2737256
"213",-82.1012554,39.3292396
"214",-84.5929898,35.4428512
"215",-83.357567,33.9519347
"216",-84.4642696,33.888116
"217",-74.4229266,39.3642834
"218",-82.0105148,33.4734978
"219",-69.6529268,44.5201866
"220",-97.7241766,30.4531629
"221",-119.0187125,35.3732921
"222",-76.6019125,39.4014955
"223",-89.7442906,43.4710944
"224",-91.1403196,30.4582829
"225",-108.0250738,39.441367
"226",-83.8888647,43.5944677
"227",-88.837329,43.4577692
"228",-122.4781473,48.74908
"229",-73.1967741,42.8781345
"230",-86.8050992,33.400235
"231",-118.3996636,37.3614238
"232",-100.7837392,46.8083268
"233",-86.5263857,39.165325
"234",-81.6745517,36.216795
"235",-71.1336295,42.3551583
"236",-105.2705456,40.0149856
"237",-86.4808043,36.9685219
"238",-94.2020084,46.3526733
"239",-122.6388241,47.5715506
"240",-73.2846525,41.1411562
"241",-112.0155015,41.5102129
"242",-83.4643551,35.4328955
"243",-79.4377991,36.0956918
"244",-73.1452091,44.5063279
"245",-119.0541032,43.5862606
"246",-112.5347776,46.0038232
"247",-85.4011619,44.2519526
"248",-76.0788292,38.5631744
"249",-79.7453163,35.2951421
"250",-81.4548753,40.8186063
"251",-81.9228923,26.5587825
"252",-119.7674034,39.1637984
"253",-91.6656232,41.9778795
"254",-81.6326234,38.3498195
"255",-79.9748103,32.8546197
"256",-80.9630623,35.0378188
"257",-78.4766781,38.0293059
"258",-85.3096801,35.0456297
"259",-104.8202462,41.1399814
"260",-88.1291089,41.7745245
"261",-121.8374777,39.7284944
"262",-84.3729152,39.4494536
"263",-80.3445341,39.2806451
"264",-87.3594528,36.5297706
"265",-122.6263728,38.9582307
"266",-82.0810755,41.3762781
"267",-90.1887379,41.8444735
"268",-104.8213634,38.8338816
"269",-81.0348144,34.0007104
"270",-87.0352831,35.6150716
"271",-84.9877094,32.4609764
"272",-82.9987942,39.9611755
"273",-122.0094175,39.2143343
"274",-71.5375718,43.2081366
"275",-85.5016423,36.162839
"276",-77.0546903,42.1428521
"277",-97.396381,27.8005828
"278",-122.2909078,39.0189327
"279",-91.9612427,33.1281779
"280",-86.9899966,38.1689415
"281",-97.026241,32.743344
"282",-87.5968594,30.4174393
"283",-90.542196,41.5190176
"284",-84.1916069,39.7589478
"285",-86.9833417,34.6059253
