"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MH_11","PUBLISHED","2011","WPR","","VNM","0","0.00000","","",""
"MH_11","PUBLISHED","2011","WPR","","WSM","0.56","0.56000","","",""
"MH_14","PUBLISHED","2011","AFR","","ZMB","0.03","0.03000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","AND","0","0.00000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","AUT","0.08","0.08000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LI","BEN","0.02","0.02000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_UMI","BIH","0.16","0.16000","","",""
"MH_17","PUBLISHED","2011","SEAR","WB_LMI","BTN","0","0.00000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_UMI","BWA","0.1","0.10000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LI","COD","0.01","0.01000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LMI","COG","0","0.00000","","",""
"MH_17","PUBLISHED","2011","AMR","WB_LMI","ECU","0.04","0.04000","","",""
"MH_17","PUBLISHED","2011","EMR","WB_LMI","EGY","0.04","0.04000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","ESP","0.19","0.19000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_UMI","GAB","0.07","0.07000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_HI","GNQ","","","","","No data"
"MH_17","PUBLISHED","2011","EUR","WB_HI","GRC","0.08","0.08000","","",""
"MH_17","PUBLISHED","2011","AMR","WB_LMI","GTM","0.02","0.02000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","HUN","0.03","0.03000","","",""
"MH_17","PUBLISHED","2011","SEAR","WB_LMI","IND","0","0.00000","","",""
"MH_17","PUBLISHED","2011","AMR","WB_UMI","JAM","0.29","0.29000","","",""
"MH_17","PUBLISHED","2011","EMR","WB_HI","KWT","0.03","0.03000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_UMI","LTU","0.34","0.34000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","LUX","0.2","0.20000","","",""
"MH_17","PUBLISHED","2011","AMR","WB_UMI","MEX","0.04","0.04000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LI","MRT","0.03","0.03000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_UMI","MUS","0.08","0.08000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LMI","NGA","0.01","0.01000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","NLD","0.56","0.56000","","",""
"MH_17","PUBLISHED","2011","AMR","WB_UMI","PAN","0","0.00000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","PRT","0.06","0.06000","","",""
"MH_17","PUBLISHED","2011","WPR","WB_LMI","SLB","0.19","0.19000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LI","SLE","0.02","0.02000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LI","TCD","0","0.00000","","",""
"MH_17","PUBLISHED","2011","WPR","WB_UMI","TUV","","","","","No data"
"MH_17","PUBLISHED","2011","AFR","WB_LI","UGA","0","0.00000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LI","ZWE","0.03","0.03000","","",""
"MH_18","PUBLISHED","2005","EMR","WB_LI","AFG","2","2.00000","","",""
"MH_18","PUBLISHED","2007","EUR","WB_LMI","ALB","58","58.00000","","",""
"MH_18","PUBLISHED","2009","SEAR","WB_LI","BGD","120","120.00000","","",""
"MH_18","PUBLISHED","2009","AMR","WB_LMI","BOL","104","104.00000","","",""
"MH_18","PUBLISHED","2010","AFR","WB_UMI","BWA","5","5.00000","","",""
"MH_18","PUBLISHED","2009","AMR","WB_UMI","BRA","6003","6003.00000","","",""
"MH_18","PUBLISHED","2008","WPR","WB_LI","KHM","35","35.00000","","",""
"MH_18","PUBLISHED","2010","AFR","WB_LMI","CIV","35","35.00000","","",""
"MH_18","PUBLISHED","2008","EUR","WB_HI","HRV","452","452.00000","","",""
"MH_18","PUBLISHED","2009","AMR","WB_LMI","GTM","85","85.00000","","",""
"MH_18","PUBLISHED","2009","AFR","WB_LI","GIN","3","3.00000","","",""
"MH_18","PUBLISHED","2009","SEAR","WB_LMI","IND","3656","3656.00000","","",""
"MH_18","PUBLISHED","2009","EMR","WB_LMI","IRQ","84","84.00000","","",""
"MH_18","PUBLISHED","2010","AFR","WB_LI","KEN","76","76.00000","","",""
"MH_18","PUBLISHED","2009","AFR","WB_LI","MDG","11","11.00000","","",""
"MH_18","PUBLISHED","2009","WPR","WB_LMI","MHL","1","1.00000","","",""
"MH_18","PUBLISHED","2009","EUR","WB_UMI","MNE","44","44.00000","","",""
"MH_18","PUBLISHED","2009","EMR","WB_LMI","MAR","292","292.00000","","",""
"MH_18","PUBLISHED","2009","AFR","WB_LI","MOZ","9","9.00000","","",""
"MH_18","PUBLISHED","2010","AMR","WB_LMI","NIC","51","51.00000","","",""
"MH_18","PUBLISHED","2010","EUR","WB_UMI","ROU","1367","1367.00000","","",""
"MH_18","PUBLISHED","2009","EUR","WB_HI","SVN","143","143.00000","","",""
"MH_18","PUBLISHED","2009","EMR","WB_LI","SOM","4","4.00000","","",""
"MH_18","PUBLISHED","2009","AFR","WB_UMI","ZAF","136","136.00000","","",""
"MH_18","PUBLISHED","2010","EUR","WB_HI","ESP","3894","3894.00000","","",""
"MH_18","PUBLISHED","2009","EMR","WB_LMI","SYR","70","70.00000","","",""
"MH_18","PUBLISHED","2008","AMR","WB_HI","TTO","23","23.00000","","",""
