region,region,classification,country,city,pm10,pm25
Eur HI,Eur,HI,Austria,SPITTAL AN DER DRAU,20.37255082,14.93304788
Eur HI,Eur,HI,Austria,STEYR,19.60164835,14.80660939
Eur HI,Eur,HI,Austria,STEYREGG,26.12693498,19.15100246
Eur HI,Eur,HI,Austria,STOCKERAU,23.04775248,16.89396651
Eur HI,Eur,HI,Austria,TRAISMAIER,21.62120208,15.8483073
Eur HI,Eur,HI,Austria,TULLN,22.43511405,16.4449035
Eur HI,Eur,HI,Austria,VILLACH,19.16081802,14.04484963
Eur HI,Eur,HI,Austria,VöCKLABRUCK,20.88527648,15.30887498
Eur HI,Eur,HI,Austria,WEIZ,25.58695065,18.75519479
Eur HI,Eur,HI,Austria,WELS,22.93150684,17.64124293
Eur HI,Eur,HI,Austria,WIEN,25.73377485,18.00136683
Eur HI,Eur,HI,Austria,WIENER NEUDORF,23.05328385,16.40057414
Eur HI,Eur,HI,Austria,WIENER NEUSTADT,17.94066778,13.15048141
Eur HI,Eur,HI,Austria,WOLFSBERG,25.69186003,18.99303248
Eur HI,Eur,HI,Austria,WöRGL,20.03850528,14.68819302
Eur HI,Eur,HI,Austria,ZELTWEG,21.40365991,15.68884923
Emr HI,Emr,HI,Bahrain,Hamad Town,317.88,65.52
Emr HI,Emr,HI,Bahrain,Hidd,178.38,41.44
Emr HI,Emr,HI,Bahrain,Ma'ameer,257.35,63.95
Emr HI,Emr,HI,Bahrain,Nabih Saleh,244.07,58.2
Emr HI,Emr,HI,Bahrain,Ras Hayan,250.42,43.92
Sear,Sear,,Bangladesh,Barisal,142.3555556,85.30833333
Sear,Sear,,Bangladesh,Chittagong,134.6378788,95.11416667
Sear,Sear,,Bangladesh,Dhaka,158.0527778,89.69602273
Sear,Sear,,Bangladesh,Gazipur,154.6333333,88.525
Sear,Sear,,Bangladesh,Khulna,108.6,61.09166667
Sear,Sear,,Bangladesh,Narayangonj,191.4166667,105.7916667
Sear,Sear,,Bangladesh,Rajshahi,63.9,36.86945272
Sear,Sear,,Bangladesh,Sylhet,169.7,61.48
Eur HI,Eur,HI,Belgium,AARSCHOT,23.48305224,15.742544
Eur HI,Eur,HI,Belgium,ANDENNE,18.3602205,12.58622434
Eur HI,Eur,HI,Belgium,ANTWERPEN,26.74898233,17.10960261
Eur HI,Eur,HI,Belgium,BERENDRECHT,25.97268394,17.41154069
Eur HI,Eur,HI,Belgium,BERTRIX,14.92191411,10.30017654
Eur HI,Eur,HI,Belgium,BOOM,25.01139562,16.76711323
Eur HI,Eur,HI,Belgium,BRUGGE,24.86293748,16.66759002
Eur HI,Eur,HI,Belgium,BRUSSELS,25.58855626,18.24726567
Eur HI,Eur,HI,Belgium,CHARLEROI,22.99154306,14.56752036
Eur HI,Eur,HI,Belgium,CHATELET,21.39687995,13.95344166
Eur HI,Eur,HI,Belgium,CORROY LE GRAND,20.40099501,14.73217377
Eur HI,Eur,HI,Belgium,DESSEL,22.30752961,14.95449837
Eur HI,Eur,HI,Belgium,DESTELBERGEN,25.12444726,16.84290067
Eur HI,Eur,HI,Belgium,ENGIS,30.94110187,17.27485205
Eur HI,Eur,HI,Belgium,EVERGEM,30.218492,19.09792921
Eur HI,Eur,HI,Belgium,GENK,26.26167678,17.60527541
Eur HI,Eur,HI,Belgium,GENT,29.85745257,18.91315265
Eur HI,Eur,HI,Belgium,HABAY LA NEUVE,15.23002124,10.70307754
Eur HI,Eur,HI,Belgium,HASSELT,23.62420153,17.66546068
Eur HI,Eur,HI,Belgium,HERSTAL,20.40998118,13.38307951
Eur HI,Eur,HI,Belgium,HOBOKEN,27.64422191,18.53210457
Eur HI,Eur,HI,Belgium,HOEVENEN,26.32495647,17.71023713
Eur HI,Eur,HI,Belgium,LANDEN,22.89154924,15.34601284
Eur HI,Eur,HI,Belgium,LIEGE,22.05714951,14.51226595
Eur HI,Eur,HI,Belgium,MECHELEN,24.91251473,16.70082557
Eur HI,Eur,HI,Belgium,MENEN,26.98143549,18.0877865
Eur HI,Eur,HI,Belgium,MOERKERKE,23.73991001,15.91473604
Eur HI,Eur,HI,Belgium,MONS,27.9448247,15.58671127
Eur HI,Eur,HI,Belgium,OOSTROZEBEKE,30.79201753,20.6423205
Eur HI,Eur,HI,Belgium,RETIE,22.47798474,15.0687679
Eur HI,Eur,HI,Belgium,ROESELAERE,28.0741519,18.82032058
Eur HI,Eur,HI,Belgium,SAINTE-ODE,12.86934758,9.47061053
Eur HI,Eur,HI,Belgium,SERAING,24.57502088,15.55829439
Eur HI,Eur,HI,Belgium,SOMME-LEUZE,16.29216234,11.15042602
Eur HI,Eur,HI,Belgium,STEENOKKERZEEL,25.38924847,17.02041783
Eur HI,Eur,HI,Belgium,TOURNAI,21.10159385,14.35746129
Eur HI,Eur,HI,Belgium,VEURNE,23.50396669,15.63345225
Eur HI,Eur,HI,Belgium,VIELSALM,13.49721628,9.10207901
Eur HI,Eur,HI,Belgium,VILVOORDE,27.16273242,18.20932415
Eur HI,Eur,HI,Belgium,VIROINVAL,14.79679771,10.14323011
Eur HI,Eur,HI,Belgium,ZELZATE,30.19874732,20.24460464
Eur HI,Eur,HI,Belgium,ZWEVEGEM,26.74539807,17.92955198
Eur HI,Eur,HI,Belgium,ZWIJNDRECHT,29.24452835,19.60491633
Sear,Sear,,Bhutan,Thimphu,77.75,43.2438339
Amr LMI,Amr,LMI,"Bolivia, Plurinational States of",Cochabamba,59.52,32.22658766
Amr LMI,Amr,LMI,"Bolivia, Plurinational States of",La Paz,82,44.39818865
Eur LMI,Eur,LMI,Bosnia and Herzegovina,SARAJEVO,49.609,30.25004431
Eur LMI,Eur,LMI,Bosnia and Herzegovina,TUZLA,106.2147634,64.7665
Amr LMI,Amr,LMI,Brazil,"Americana, REGIÃO METROPOLITANA DE CAMPINAS",36,16.48754632
Amr LMI,Amr,LMI,Brazil,"Araçatuba, INTERIOR DO ESTADO",34,15.57157153
Amr LMI,Amr,LMI,Brazil,"Araraquara, INTERIOR DO ESTADO",34,15.57157153
Amr LMI,Amr,LMI,Brazil,Araucária,31.25666667,14.31515943
Amr LMI,Amr,LMI,Brazil,"Barra Mansa, REGIÃO DO MÉDIO PARAÍBA",27.5,12.59465344
Amr LMI,Amr,LMI,Brazil,"Bauru, INTERIOR DO ESTADO",29,13.28163454
Amr LMI,Amr,LMI,Brazil,"Campinas, REGIÃO METROPOLITANA DE CAMPINAS",35,16.02955892
Amr LMI,Amr,LMI,Brazil,"Campos, REGIÃO DO NORTE FLUMINENSE",26.20159432,12
Amr LMI,Amr,LMI,Brazil,"Canoas, REGIÃO METROPOLITANA DE PORTO ALEGRE",29,13.28163454
Amr LMI,Amr,LMI,Brazil,"Cantagalo - Euclidelândia, REGIÃO SUL",20,9.159747956
Amr LMI,Amr,LMI,Brazil,"Catanduva, INTERIOR DO ESTADO",41,18.77748331
Amr LMI,Amr,LMI,Brazil,"Charqueadas, REGIÃO METROPOLITANA DE PORTO ALEGRE",29,13.28163454
Amr LMI,Amr,LMI,Brazil,Colombo,39.29,17.99432486
Amr LMI,Amr,LMI,Brazil,"Cordeirópolis – Módolo, INTERIOR DO ESTADO",38,17.40352112
Amr LMI,Amr,LMI,Brazil,"Cubatão, REGIÃO METROPOLITANA DA BAIXADA SANTISTA",68.66666667,31.44846798
Amr LMI,Amr,LMI,Brazil,Curitiba,24.28,11.11993402
Amr LMI,Amr,LMI,Brazil,"Gravataí, REGIÃO METROPOLITANA DE PORTO ALEGRE",16,7.327798365
